iter	RMSE
0	2.454575853
1	2.449485023
2	2.445033044
3	2.440622001
4	2.436000595
5	2.431238698
6	2.427212333
7	2.423891498
8	2.419314927
9	2.415737653
10	2.411388586
11	2.407748404
12	2.404017124
13	2.399711998
14	2.395669066
15	2.391621069
16	2.38859058
17	2.385634697
18	2.380997981
19	2.378072681
20	2.37497021
21	2.371564534
22	2.367970367
23	2.364044316
24	2.360222523
25	2.356150319
26	2.352762014
27	2.348541891
28	2.346535265
29	2.342787424
30	2.340229269
31	2.336173683
32	2.331948491
33	2.327778652
34	2.323621295
35	2.320636484
36	2.317391303
37	2.312886303
38	2.309595715
39	2.30586922
40	2.303238541
41	2.298855213
42	2.297192806
43	2.29325968
44	2.290930029
45	2.286871439
46	2.283767369
47	2.279355688
48	2.276504555
49	2.272774858
50	2.270236041
51	2.26727612
52	2.264846597
53	2.263120891
54	2.260225492
55	2.257533378
56	2.253707916
57	2.250231636
58	2.246692654
59	2.243659013
60	2.24038828
61	2.237334747
62	2.236360286
63	2.232308091
64	2.230077944
65	2.226694208
66	2.224033213
67	2.220404416
68	2.217244763
69	2.214521957
70	2.210304396
71	2.208135604
72	2.205044534
73	2.202122681
74	2.198881304
75	2.195670427
76	2.193391953
77	2.192351814
78	2.190535789
79	2.188439204
80	2.185126196
81	2.181752252
82	2.179507135
83	2.176677884
84	2.17507604
85	2.172521524
86	2.17034339
87	2.168233065
88	2.16552468
89	2.162923866
90	2.160316311
91	2.158801374
92	2.156531233
93	2.153633583
94	2.151389119
95	2.149243476
96	2.147377379
97	2.144960795
98	2.14285517
99	2.140828465
100	2.138483875
101	2.136817895
102	2.134804518
103	2.132076659
104	2.130165271
105	2.128031612
106	2.126082209
107	2.123867998
108	2.121987495
109	2.119855444
110	2.118244608
111	2.114982695
112	2.112131317
113	2.109790756
114	2.107383887
115	2.105146449
116	2.103544691
117	2.10105504
118	2.098491583
119	2.096231935
120	2.094460334
121	2.092898164
122	2.090551222
123	2.088195192
124	2.085517681
125	2.083812502
126	2.081833412
127	2.079574565
128	2.078280068
129	2.075894249
130	2.07419598
131	2.072347638
132	2.070519177
133	2.068798688
134	2.066826076
135	2.064819212
136	2.062273707
137	2.060838649
138	2.059440616
139	2.057403288
140	2.055356791
141	2.053748552
142	2.051594991
143	2.049500081
144	2.047755037
145	2.046033819
146	2.044851718
147	2.043551482
148	2.041839449
149	2.039768755
150	2.037794997
151	2.035791752
152	2.033606673
153	2.03219403
154	2.0303574
155	2.028911683
156	2.026936536
157	2.025242943
158	2.023847964
159	2.021536986
160	2.019326863
161	2.018079613
162	2.01585134
163	2.01442782
164	2.012724445
165	2.010789698
166	2.009301721
167	2.007728975
168	2.006033327
169	2.004522226
170	2.002506357
171	2.001080173
172	1.999353887
173	1.997793991
174	1.995837649
175	1.994454205
176	1.993172661
177	1.991311452
178	1.989889622
179	1.986753298
180	1.984960438
181	1.983655045
182	1.982096711
183	1.9806855
184	1.978693326
185	1.976688589
186	1.975775633
187	1.973865149
188	1.971562578
189	1.969486134
190	1.967828963
191	1.965907641
192	1.964694523
193	1.962963129
194	1.96156318
195	1.95992111
196	1.958729508
197	1.957553031
198	1.956261896
199	1.954846426
