iter	Passed	Remaining
0	134	26755
1	135	13434
2	136	8962
3	137	6723
4	137	5378
5	138	4478
6	139	3839
7	139	3358
8	140	2983
9	141	2684
10	141	2438
11	142	2234
12	143	2064
13	144	1916
14	145	1789
15	146	1679
16	146	1580
17	147	1493
18	148	1414
19	149	1344
20	150	1278
21	150	1219
22	151	1166
23	152	1116
24	153	1071
25	153	1029
26	154	989
27	155	955
28	156	920
29	156	888
30	157	857
31	157	829
32	158	802
33	159	777
34	160	754
35	160	732
36	161	711
37	162	691
38	162	672
39	163	654
40	164	636
41	164	620
42	165	603
43	166	588
44	166	574
45	167	560
46	168	547
47	168	534
48	169	522
49	170	510
50	170	499
51	171	488
52	172	477
53	172	466
54	173	456
55	174	447
56	174	438
57	175	429
58	176	421
59	176	412
60	177	404
61	178	397
62	178	388
63	179	381
64	180	374
65	180	367
66	181	360
67	182	353
68	182	347
69	183	340
70	184	334
71	184	328
72	185	323
73	186	317
74	187	311
75	187	306
76	188	301
77	189	295
78	189	290
79	190	285
80	191	280
81	191	276
82	192	271
83	193	267
84	193	262
85	194	257
86	195	253
87	195	248
88	196	244
89	196	240
90	197	236
91	198	232
92	199	229
93	199	225
94	200	221
95	201	218
96	202	214
97	202	211
98	203	207
99	204	204
100	205	201
101	205	197
102	206	194
103	207	191
104	208	188
105	208	185
106	209	182
107	210	179
108	210	176
109	211	173
110	212	170
111	213	167
112	213	164
113	214	161
114	215	159
115	216	156
116	216	153
117	217	151
118	218	148
119	219	146
120	220	143
121	220	141
122	221	138
123	222	136
124	223	133
125	223	131
126	224	129
127	225	126
128	225	124
129	226	122
130	227	119
131	228	117
132	228	115
133	229	113
134	230	110
135	231	108
136	231	106
137	232	104
138	233	102
139	234	100
140	234	98
141	235	96
142	236	94
143	237	92
144	238	90
145	238	88
146	239	86
147	240	84
148	240	82
149	241	80
150	242	78
151	243	76
152	243	74
153	244	73
154	245	71
155	246	69
156	246	67
157	247	65
158	248	64
159	249	62
160	249	60
161	250	58
162	251	57
163	252	55
164	252	53
165	253	51
166	254	50
167	254	48
168	255	46
169	256	45
170	257	43
171	257	41
172	258	40
173	259	38
174	260	37
175	260	35
176	261	33
177	262	32
178	262	30
179	263	29
180	264	27
181	264	26
182	265	24
183	266	23
184	267	21
185	267	20
186	268	18
187	269	17
188	270	15
189	270	14
190	271	12
191	272	11
192	272	9
193	273	8
194	274	7
195	275	5
196	275	4
197	276	2
198	277	1
199	277	0
